index,merchant_id,averagediscount
84,5b1522ab7b94e12ee3d455c9,-16
85,55e7e41e606d0a18fdfc67d1,-11
86,583e7f658108913bced6f8cf,-13
87,58216982dd9916453fe2d1a1,77
88,5803772d4dcf7942d7280c39,-16
89,5a200757518c1c4b34845a1f,87
90,537975ab71795104807b06b4,45
91,5810a3d4a70e0356e24d3c6c,-14
92,5a72e56d9d5e975657c1460a,43
93,598d8d1e2afd354f6ef9950d,82
94,570b68b9e902df590e48d196,87
95,56d813f66d64ff168ab1bfac,93
96,57a995f564fa71286bac2109,37
97,5368f053bb72c5150191a140,-12
98,5c80bd2ab1ad6a6fc52a7eb3,-16
99,59c0e0168696be51cef38e93,0
100,59cdc2112351344fc0dfa54f,0
101,55af776cc982de2775ba26d2,87
102,555f4174a4efd10ea5ebaa5f,57
103,59df389c88dd76239f03c701,-15
104,5756d060b833235cbc250227,95
105,54869f80546ead6e5b318f5b,-9
106,5acf2091cd968d299afe79a3,0
107,580dd6425250a21944205a36,-17
108,57aeb5fb5a4ac218de83b64d,-14
109,58b26eaa01c02f5114ac2ae9,-14
110,5c0232c1d9333c676958674e,-16
111,595b54fcd44a9b1180cb102b,75
112,5b2620ddd1c360688799eb51,28
113,58df45e5795cf052ae1c2142,-13
114,57820e33ea637711873c1618,9
115,57edcd19252c15203b411d82,94
116,58183b4ea642e03dc54eda6e,91
117,542a670d4f66d92eba599455,-14
118,584fd5cbd67ff04c93c70560,0
119,53208a086fa88c662a693514,-18
120,58be502223167e61443f4d92,-10
121,57875ba40cb30d38ba46f57d,71
122,5487c9b1b9b7e705069489fb,35
123,55e7ed3230a9764b0761fc82,12
124,54898f4c223ebf1cd713fdc2,82
125,57ff8c180fb8e31870c27d68,90
126,54b8872d40b37856baa55e38,9
127,5770ca6694fc5029d02c368a,-14
128,5810c46f02b01e15f8a10e38,-8
129,561dc58d1f1ffb54d008b82f,26
130,591c4e7f1a071f13df7a63ff,95
131,53e442474497c57e900d7c64,50
132,54125ab34ad3ab158c0f72d9,-10
133,570d017b1b4ca758e18e407d,-14
134,5826f19f20a9402c37313979,10
135,582833faea77701b456c786a,0
136,59aaa4d39fbc514dc80328e3,27
137,5b14d31d7e43f22f255ea98c,89
138,5406cabdc5c2464980dc6314,47
139,5ae90e716691361cdb40fb0b,50
140,5784d339e8aa8938977fefd0,31
